Timestamp, RF13, RF12, RF11, RF10, MF9, MF8, MF7, MF6, MF5, FF4, FF3, FF2, FF1
17159636580000,1,1,1,1,4,1,1,1,1,1,1,1,1
17159636580100,9,24,36,1,18,8,1,1,1,1,1,1,1
17159636590000,2,97,160,21,120,86,28,61,2,2,1,1,19
17159636590100,1,1,1,1,264,84,11,2,1,224,16,81,5
17159636600000,1,1,1,1,11,2,1,1,1,1,1,1,1
17159636600100,115,185,134,1,108,33,1,1,1,1,1,1,1
17159636610000,34,133,2,1,94,7,2,1,1,1,1,1,1
17159636610100,6,30,36,1,31,16,1,2,1,1,1,1,1
17159636620000,149,135,27,1,76,15,1,1,1,1,1,1,1
17159636620100,1,1,1,1,15,5,1,1,1,1,1,1,1
17159636630000,47,115,142,28,84,46,5,8,1,1,1,1,1
17159636630100,131,130,136,15,52,18,1,1,1,1,1,1,1
17159636640000,104,89,105,6,24,8,1,1,1,1,1,1,1
17159636640100,121,99,114,10,24,7,1,1,1,1,1,1,1
17159636650000,98,102,122,14,35,12,1,1,1,1,1,1,1
17159636650100,48,93,124,18,53,25,2,1,1,1,1,1,1
17159636660000,4,92,126,7,92,50,7,7,1,1,1,1,1
17159636660100,7,97,133,10,96,52,8,8,1,1,1,1,1
17159636670000,11,96,134,15,86,50,7,8,1,1,1,1,1
17159636670100,16,93,132,17,86,44,6,5,1,1,1,1,1
17159636680000,14,91,129,16,81,44,6,6,1,1,1,1,1
17159636680100,4,91,129,12,93,52,8,7,1,1,1,1,1
17159636690000,1,90,133,4,111,64,15,11,1,2,1,1,1
17159636690100,1,97,140,7,116,68,17,12,1,2,1,1,1
17159636700000,4,102,141,13,106,61,12,9,1,2,1,1,1
17159636700100,8,104,142,14,103,59,11,8,1,2,1,1,1
17159636710000,22,119,153,18,104,59,9,8,1,2,1,1,1
17159636710100,43,145,176,27,119,59,10,8,1,2,1,1,1
17159636720000,3,38,32,1,63,24,2,1,1,1,1,1,1
17159636720100,1,1,1,1,26,8,1,1,1,1,1,1,1
17159636730000,1,15,26,1,38,24,3,3,1,1,1,1,1
17159636730100,3,60,97,12,74,45,9,9,1,1,1,1,1
17159636740000,31,92,124,28,70,43,6,8,1,1,1,1,1
17159636740100,36,103,136,33,80,49,7,10,1,1,1,1,1
17159636750000,30,104,140,33,83,53,8,11,1,1,1,1,1
17159636750100,32,109,146,33,88,56,8,11,1,1,1,1,1
17159636760000,36,117,153,35,95,57,9,11,1,1,1,1,1
17159636760100,24,118,157,35,102,64,12,14,1,2,1,1,1
17159636770000,23,116,156,33,100,65,12,16,1,2,1,1,1
17159636770100,24,113,152,32,95,62,11,13,1,1,1,1,1
17159636780000,26,110,149,32,90,59,10,12,1,1,1,1,1
17159636780100,26,107,145,31,87,57,9,11,1,1,1,1,1
17159636790000,26,105,144,30,84,56,9,10,1,1,1,1,1
17159636790100,24,106,145,29,88,58,10,12,1,1,1,1,1
17159636800000,21,109,149,28,94,62,11,13,1,1,1,1,1
17159636800100,15,111,152,26,103,67,13,17,1,2,1,1,1
17159636810000,7,110,152,21,107,72,16,18,1,2,1,1,1
17159636810100,3,108,149,13,109,75,18,21,1,2,1,1,1
17159636820000,7,110,151,17,109,76,18,22,1,2,1,1,1
17159636820100,1,124,164,4,143,95,32,29,1,4,1,1,1
17159636830000,1,76,150,4,152,121,84,75,1,15,2,56,2
17159636830100,1,7,40,1,159,120,124,93,1,47,4,91,2
17159636840000,1,1,1,1,7,1,1,1,1,1,1,1,1
17159636840100,79,105,138,49,36,23,1,1,1,1,1,1,1
17159636850000,1,1,1,1,265,115,63,18,1,374,16,138,5
17159636850100,1,1,1,1,15,4,1,1,1,1,1,1,1
17159636860000,1,144,186,22,152,103,18,19,1,5,2,1,1
17159636860100,1,1,1,1,11,1,1,1,1,1,1,1,1
17159636870000,53,115,148,32,67,38,1,1,1,1,1,1,1
17159636870100,76,132,197,109,76,40,2,3,1,1,1,1,1
17159636880000,1,82,135,28,87,59,6,8,1,1,1,1,1
17159636880100,2,80,131,29,89,61,6,10,1,1,1,1,1
17159636890000,1,92,141,25,104,75,10,13,1,2,1,1,1
