Timestamp, RF13, RF10, RF11, RF12, MF5, MF6, MF7, MF8, MF9, FF1, FF2, FF3, FF4
17159637360100,1,1,1,3,1,1,1,3,40,1,1,1,1
17159637370000,1,1,1,1,1,1,1,1,6,1,1,1,1
17159637370100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637380000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637380100,1,6,1,109,1,1,1,49,121,1,1,1,1
17159637390000,1,1,1,1,1,1,1,1,28,1,1,1,4
17159637390100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637400000,1,1,1,1,1,1,19,56,174,1,4,1,26
17159637400100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637410000,1,97,1,83,1,1,1,32,112,1,1,1,1
17159637410100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637420000,1,1,1,1,1,1,1,1,4,1,1,1,1
17159637420100,1,16,1,6,1,1,1,5,46,1,1,1,1
17159637430000,1,26,1,9,1,1,1,5,46,1,1,1,1
17159637430100,1,13,1,4,1,1,1,3,40,1,1,1,1
17159637440000,1,4,1,2,1,1,1,2,33,1,1,1,1
