17159432210100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432220000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432220100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432230000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432230100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432240000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432240100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432250000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432250100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432260000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432260100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432270000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432270100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432280000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432280100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432290000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432290100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432300000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432300100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432310000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432310100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432320000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432320100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432330000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432330100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432340000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432340100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432350000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432350100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432360000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432360100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432370000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432430000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432440000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432440100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432450000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432450100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432480000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432480100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432490000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432490100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432500000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432500100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432510000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432510100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432520000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432520100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432530000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432530100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432540000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432540100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432550000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432550100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432560000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432560100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432570000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432570100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432580000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432580100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432590000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432590100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432600000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432600100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432610000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432610100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432620000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432620100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432630000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432630100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432640000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432640100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432650000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432650100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432660000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432660100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432670000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432670100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432680000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432680100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432690000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432690100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432700000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432700100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432710000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432710100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432720000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432720100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432730000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432730100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432740000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432740100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432750000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432750100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432760000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432760100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432770000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432770100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432780000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432780100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432790000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432790100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432800000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432800100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432810000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432810100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432820000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432820100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432830000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432830100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432840000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432840100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432850000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432850100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432860000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432860100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432870000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432870100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432880000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432880100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432890000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432890100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432900000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432900100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432910000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432910100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432920000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432920100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432930000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432930100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432940000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432940100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432950000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432950100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432960000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432960100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432970000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432970100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432980000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432980100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432990000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159432990100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433000000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433000100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433010000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433010100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433020000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433020100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433030000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433030100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159433040000,1,1,1,1,1,1,1,1,1,1,1,1,1
